iter	Logloss
0	0.6736495536
1	0.6554609375
2	0.6388658622
3	0.6223824637
4	0.6076487165
5	0.593382115
6	0.5803484235
7	0.5677550572
8	0.5565815778
9	0.545488072
10	0.5346016323
11	0.5261065848
12	0.5166112584
13	0.507715053
14	0.5009943499
15	0.4927504534
16	0.4862796456
17	0.4783497489
18	0.4721690151
19	0.4661568778
20	0.4619234096
21	0.4559719587
22	0.451516183
23	0.4466928013
24	0.4428183245
25	0.4383590262
26	0.4345849958
27	0.4299208287
28	0.426675572
29	0.4229489746
30	0.4197381766
31	0.4162117746
32	0.4124206543
33	0.4097014509
34	0.4068404018
35	0.4036396833
36	0.4007569057
37	0.3984505441
38	0.3962506278
39	0.3938964146
40	0.3917831334
41	0.3896997419
42	0.3876329171
43	0.3857669503
44	0.3838956473
45	0.382015067
46	0.3803932408
47	0.3787699498
48	0.3770957031
49	0.375334368
50	0.3739697266
51	0.3729234794
52	0.3715197754
53	0.3699862584
54	0.3691964983
55	0.3680317732
56	0.3669063895
57	0.365725865
58	0.3648341936
59	0.3638304269
60	0.3629847586
61	0.3625036272
62	0.3615501535
63	0.3606868025
64	0.35939488
65	0.3586739676
66	0.3578073382
67	0.3570422712
68	0.3563411691
69	0.3554646694
70	0.3547852609
71	0.3541746303
72	0.3536274065
73	0.3530414342
74	0.3524512416
75	0.3520737653
76	0.3511747001
77	0.3503194754
78	0.3496726423
79	0.3490631975
80	0.3485454799
81	0.3481561105
82	0.3477279227
83	0.3469740513
84	0.3464106097
85	0.3457761579
86	0.3451340681
87	0.3448219517
88	0.3444045061
89	0.3440729632
90	0.3435554199
91	0.3431771066
92	0.3428233119
93	0.3424273507
94	0.3420304129
95	0.3413851842
96	0.3409247349
97	0.3406065151
98	0.3401232561
99	0.3398407506
100	0.339386928
101	0.33902982
102	0.3387092983
103	0.3383846261
104	0.3379689244
105	0.3376846401
106	0.3372635324
107	0.3367481864
108	0.3365046038
109	0.3362520229
110	0.3357139369
111	0.3354297573
112	0.3350503278
113	0.3347673689
114	0.3343152902
