iter	Passed	Remaining
415	2401	3371
416	2406	3363
417	2410	3356
418	2414	3348
419	2421	3343
420	2427	3338
421	2431	3330
422	2437	3325
423	2443	3319
424	2449	3313
425	2455	3308
426	2461	3303
427	2467	3297
428	2473	3292
429	2478	3285
430	2483	3278
431	2490	3274
432	2497	3270
433	2502	3264
434	2507	3256
435	2510	3248
436	2515	3240
437	2518	3231
438	2523	3224
439	2526	3215
440	2530	3207
441	2535	3200
442	2538	3192
443	2543	3184
444	2546	3176
445	2551	3168
446	2555	3161
447	2558	3152
448	2563	3145
449	2566	3137
450	2570	3129
451	2574	3121
452	2578	3113
453	2582	3106
454	2586	3098
455	2590	3090
456	2594	3082
457	2598	3074
458	2602	3067
459	2606	3059
460	2610	3052
461	2615	3046
462	2620	3039
463	2625	3032
464	2630	3025
465	2635	3019
466	2640	3013
467	2645	3007
468	2650	3000
469	2656	2995
470	2660	2988
471	2665	2981
472	2670	2975
473	2675	2969
474	2680	2962
475	2685	2955
476	2690	2949
477	2695	2943
478	2701	2938
479	2706	2932
480	2711	2925
481	2716	2919
482	2722	2914
483	2765	2948
484	2771	2943
485	2778	2939
486	2785	2933
487	2791	2928
488	2798	2923
489	2807	2921
490	2813	2916
491	2819	2911
492	2827	2907
493	2839	2908
494	2847	2904
495	2853	2899
496	2862	2896
497	2868	2891
498	2875	2886
499	2884	2884
500	2891	2880
501	2898	2875
502	2906	2871
503	2915	2868
504	2922	2864
505	2929	2859
506	2935	2854
507	2941	2848
508	2948	2844
509	2955	2839
510	2961	2834
511	2968	2829
512	2974	2823
513	2982	2819
514	2990	2815
515	2996	2810
516	3003	2805
517	3010	2800
518	3018	2797
519	3027	2794
520	3034	2790
521	3041	2785
522	3049	2781
523	3057	2777
524	3064	2772
525	3073	2769
526	3080	2764
527	3086	2759
528	3094	2754
529	3100	2749
530	3106	2743
531	3112	2737
532	3120	2734
533	3128	2729
534	3135	2725
535	3143	2721
536	3150	2716
537	3157	2711
538	3165	2707
539	3173	2703
540	3184	2702
541	3190	2696
542	3197	2691
543	3205	2687
544	3212	2682
545	3219	2677
546	3226	2671
547	3232	2665
548	3237	2659
549	3245	2655
550	3252	2650
551	3259	2645
552	3263	2638
553	3270	2632
554	3275	2626
555	3280	2619
556	3285	2613
557	3290	2606
558	3296	2600
559	3300	2593
560	3305	2586
561	3311	2580
562	3316	2573
563	3320	2567
564	3325	2560
565	3330	2553
566	3334	2546
567	3339	2540
568	3344	2533
